TransactionID,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,TransactionDT,TransactionAmt,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,isFraud
263585,R,4586,399.0,150.0,american express,146.0,credit,325.0,87.0,3370625,75.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
222178,C,11837,304.0,146.0,visa,226.0,credit,NotFound,NotFound,10117925,44.47,2.0,5.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,0
177796,W,18132,567.0,150.0,mastercard,117.0,debit,441.0,87.0,5341422,29.97,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
17638,W,6877,550.0,150.0,visa,226.0,debit,272.0,87.0,14501750,107.94,10.0,17.0,0.0,0.0,16.0,14.0,0.0,0.0,12.0,0.0,14.0,0.0,120.0,8.0,0
66249,W,4090,490.0,150.0,visa,226.0,debit,310.0,87.0,11935875,97.94,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0
201711,W,9500,321.0,150.0,visa,226.0,debit,330.0,87.0,13873537,29.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
195722,W,13960,206.0,150.0,visa,166.0,debit,387.0,87.0,7959529,744.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
39224,W,1974,111.0,150.0,visa,226.0,debit,184.0,87.0,12944159,107.94,175.0,179.0,0.0,0.0,89.0,117.0,0.0,0.0,122.0,0.0,152.0,0.0,430.0,120.0,1
246783,C,9633,130.0,185.0,visa,138.0,debit,NotFound,NotFound,12118653,24.28,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0
290448,H,7815,161.0,150.0,mastercard,117.0,debit,181.0,87.0,501427,100.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
